ADM3_EN,ADM3_PCODE,ADM3_REF,ADM3ALT1_EN,ADM3ALT2_EN,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,AREA_SQKM
Phlov Meas,KH020703,,,,Rotonak Mondol,KH0207,Battambang,KH02,Cambodia,KH,117.2702713
Phlov Tuk,KH040404,,,,Kampong Leaeng,KH0404,Kampong Chhnang,KH04,Cambodia,KH,193.1053772
Phluk,KH190103,,,,Sesan,KH1901,Stung Treng,KH19,Cambodia,KH,355.604248
Phnhi Meas,KH090202,,,,Kiri Sakor,KH0902,Koh Kong,KH09,Cambodia,KH,215.8023987
Phniet,KH010606,,,,Serei Saophoan,KH0106,Banteay Meanchey,KH01,Cambodia,KH,41.10966492
Phnom Penh Thmei,KH120801,,,,Saensokh,KH1208,Phnom Penh,KH12,Cambodia,KH,20.68403816
Phnom Prasat,KH070608,,,,Kampong Trach,KH0706,Kampot,KH07,Cambodia,KH,18.99740791
Phnom Touch,KH050515,,,,Odongk,KH0505,Kampong Speu,KH05,Cambodia,KH,44.47083664
Phnum Bat,KH080906,,,,Ponhea Lueu,KH0809,Kandal,KH08,Cambodia,KH,33.11431503
Phnum Dei,KH010306,,,,Phnum Srok,KH0103,Banteay Meanchey,KH01,Cambodia,KH,59.70131683
Phnum Den,KH210407,,,,Kiri Vong,KH2104,Takeo,KH21,Cambodia,KH,19.58815575
Phnum Kok,KH160909,,,,Veun Sai,KH1609,Ratanak Kiri,KH16,Cambodia,KH,189.315918
Phnum Kong,KH070108,,,,Angkor Chey,KH0701,Kampot,KH07,Cambodia,KH,34.88551712
Phnum Lieb,KH010403,,,,Preah Netr Preah,KH0104,Banteay Meanchey,KH01,Cambodia,KH,247.9567719
Phnum Penh,KH130404,,,,Kuleaen,KH1304,Preah Vihear,KH13,Cambodia,KH,96.84564209
Phnum Proek,KH021101,,,,Phnum Proek,KH0211,Battambang,KH02,Cambodia,KH,173.2043915
Phnum Sampov,KH020106,,,,Banan,KH0201,Battambang,KH02,Cambodia,KH,63.92327881
Phnum Tbaeng Muoy,KH130603,,,,Sangkum Thmei,KH1306,Preah Vihear,KH13,Cambodia,KH,144.3160248
Phnum Tbaeng Pir,KH130405,,,,Kuleaen,KH1304,Preah Vihear,KH13,Cambodia,KH,284.593689
Phnum Touch,KH010207,,,,Mongkol Borei,KH0102,Banteay Meanchey,KH01,Cambodia,KH,47.93962097
Phong,KH050106,,,,Basedth,KH0501,Kampong Speu,KH05,Cambodia,KH,23.1689415
Phsar,KH040107,,,,Baribour,KH0401,Kampong Chhnang,KH04,Cambodia,KH,36.27299881
Phsar Chas,KH120209,,,,Doun Penh,KH1202,Phnom Penh,KH12,Cambodia,KH,0.06423375
Phsar Chhnang,KH040301,,,,Kampong Chhnang,KH0403,Kampong Chhnang,KH04,Cambodia,KH,10.67212677
Phsar Daek,KH080911,,,,Ponhea Lueu,KH0809,Kandal,KH08,Cambodia,KH,15.45754242
Phsar Daeum Kor,KH120409,,,,Tuol Kouk,KH1204,Phnom Penh,KH12,Cambodia,KH,0.500689924
Phsar Daeum Thkov,KH120112,,,,Chamkar Mon,KH1201,Phnom Penh,KH12,Cambodia,KH,0.922715425
Phsar Depou Ti Bei,KH120403,,,,Tuol Kouk,KH1204,Phnom Penh,KH12,Cambodia,KH,0.344596237
Phsar Depou Ti Muoy,KH120401,,,,Tuol Kouk,KH1204,Phnom Penh,KH12,Cambodia,KH,0.353474766
Phsar Depou Ti Pir,KH120402,,,,Tuol Kouk,KH1204,Phnom Penh,KH12,Cambodia,KH,0.102562003
Phsar Kandal,KH011003,,,,Paoy Paet,KH0110,Banteay Meanchey,KH01,Cambodia,KH,74.14331818
Phsar Kandal Ti Muoy,KH120205,,,,Doun Penh,KH1202,Phnom Penh,KH12,Cambodia,KH,0.418064386
Phsar Kandal Ti Pir,KH120206,,,,Doun Penh,KH1202,Phnom Penh,KH12,Cambodia,KH,0.107896715
Phsar Thmei Ti Bei,KH120203,,,,Doun Penh,KH1202,Phnom Penh,KH12,Cambodia,KH,0.339581102
Phsar Thmei Ti Muoy,KH120201,,,,Doun Penh,KH1202,Phnom Penh,KH12,Cambodia,KH,0.127155825
Phsar Thmei Ti Pir,KH120202,,,,Doun Penh,KH1202,Phnom Penh,KH12,Cambodia,KH,0.112442106
Phteah Kandal,KH031406,,,,Srei Santhor,KH0314,Kampong Cham,KH03,Cambodia,KH,24.93749809
Phteah Prey,KH150504,,,,Pursat,KH1505,Pursat,KH15,Cambodia,KH,12.84396267
Phteah Rung,KH150403,,,,Phnum Kravanh,KH1504,Pursat,KH15,Cambodia,KH,156.1999207
Phum Thmei,KH010703,,,,Thma Puok,KH0107,Banteay Meanchey,KH01,Cambodia,KH,66.01995087
Phum Thum,KH080208,,,,Kien Svay,KH0802,Kandal,KH08,Cambodia,KH,15.52365875
Phum Thum,KH080608,,,,Lvea Aem,KH0806,Kandal,KH08,Cambodia,KH,24.52833748
Pir,KH180102,,,,Preah Sihanouk,KH1801,Preah Sihanouk,KH18,Cambodia,KH,2.35284853
Pir Thnu,KH100502,,,,Snuol,KH1005,Kratie,KH10,Cambodia,KH,588.4033203
Pneay,KH050705,,,,Samraong Tong,KH0507,Kampong Speu,KH05,Cambodia,KH,30.46759987
Pnov,KH060706,,,,Santuk,KH0607,Kampong Thom,KH06,Cambodia,KH,108.1066284
Pnov Ti Muoy,KH141204,,,,Sithor Kandal,KH1412,Prey Veng,KH14,Cambodia,KH,35.67416763
Pnov Ti Pir,KH141205,,,,Sithor Kandal,KH1412,Prey Veng,KH14,Cambodia,KH,30.57633972
Pong,KH160901,,,,Veun Sai,KH1609,Ratanak Kiri,KH16,Cambodia,KH,67.31472778
Pong Tuek,KH120507,,,,Dangkao,KH1205,Phnom Penh,KH12,Cambodia,KH,11.07693386
Pong Tuek,KH200307,,,,Rumduol,KH2003,Svay Rieng,KH20,Cambodia,KH,38.10793304
Pong Tuek,KH230103,,,,Damnak Chang'aeur,KH2301,Kep,KH23,Cambodia,KH,34.22235489
Pongro,KH030807,,,,Kaoh Soutin,KH0308,Kampong Cham,KH03,Cambodia,KH,8.14024353
Pongro,KH040607,,,,Rolea B'ier,KH0406,Kampong Chhnang,KH04,Cambodia,KH,27.7478981
Pongro,KH060113,,,,Baray,KH0601,Kampong Thom,KH06,Cambodia,KH,52.57246017
Pongro,KH100107,,,,Chhloung,KH1001,Kratie,KH10,Cambodia,KH,21.54898643
