ADM3_EN,ADM3_PCODE,ADM3_REF,ADM3ALT1_EN,ADM3ALT2_EN,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,AREA_SQKM
Preaek Sambuor,KH140608,,,,Peam Chor,KH1406,Prey Veng,KH14,Cambodia,KH,24.4130497
Preaek Sdei,KH080410,,,,Kaoh Thum,KH0804,Kandal,KH08,Cambodia,KH,52.82623291
Preaek Slaeng,KH080116,,,,Kandal Stueng,KH0801,Kandal,KH08,Cambodia,KH,10.8616066
Preaek Ta Kov,KH080309,,,,Khsach Kandal,KH0803,Kandal,KH08,Cambodia,KH,20.11442566
Preaek Ta Meak,KH080310,,,,Khsach Kandal,KH0803,Kandal,KH08,Cambodia,KH,22.77822495
Preaek Ta Nong,KH030808,,,,Kaoh Soutin,KH0308,Kampong Cham,KH03,Cambodia,KH,38.07221222
Preaek Ta Sar,KH141107,,,,Pur Rieng,KH1411,Prey Veng,KH14,Cambodia,KH,39.07453918
Preaek Ta Sek,KH121003,,,,Chraoy Chongvar,KH1210,Phnom Penh,KH12,Cambodia,KH,14.82927418
Preaek Ta Teaen,KH080910,,,,Ponhea Lueu,KH0809,Kandal,KH08,Cambodia,KH,10.11824989
Preaek Thmei,KH080411,,,,Kaoh Thum,KH0804,Kandal,KH08,Cambodia,KH,31.77967072
Preaek Thmei,KH121208,,,,Chbar Ampov,KH1212,Phnom Penh,KH12,Cambodia,KH,19.78992844
Preaek Tnoat,KH070711,,,,Tuek Chhou,KH0707,Kampot,KH07,Cambodia,KH,70.08771515
Preaek Tonloab,KH080506,,,,Leuk Daek,KH0805,Kandal,KH08,Cambodia,KH,79.11460876
Preah Andoung,KH031508,,,,Stueng Trang,KH0315,Kampong Cham,KH03,Cambodia,KH,5.533637047
Preah Bat,KH190403,,,,Stueng Traeng,KH1904,Stung Treng,KH19,Cambodia,KH,55.05989075
Preah Bat Choan Chum,KH210402,,,,Kiri Vong,KH2104,Takeo,KH21,Cambodia,KH,51.52321243
Preah Dak,KH170303,,,,Banteay Srei,KH1703,Siemreap,KH17,Cambodia,KH,49.26903915
Preah Damrei,KH060810,,,,Stoung,KH0608,Kampong Thom,KH06,Cambodia,KH,14.36070728
Preah Khae,KH050115,,,,Basedth,KH0501,Kampong Speu,KH05,Cambodia,KH,38.59310913
Preah Khleang,KH130706,,,,Tbaeng Mean Chey,KH1307,Preah Vihear,KH13,Cambodia,KH,121.6566849
Preah Nipean,KH050305,,,,Kong Pisei,KH0503,Kampong Speu,KH05,Cambodia,KH,31.18304253
Preah Phos,KH021304,,,,Koas Krala,KH0213,Battambang,KH02,Cambodia,KH,140.7202759
Preah Ponlea,KH010607,,,,Serei Saophoan,KH0106,Banteay Meanchey,KH01,Cambodia,KH,14.43638611
Preah Ponlea,KH200204,,,,Kampong Rou,KH2002,Svay Rieng,KH20,Cambodia,KH,27.81511116
Preah Pralay,KH220504,,,,Trapeang Prasat,KH2205,Oddar Meanchey,KH22,Cambodia,KH,68.0588913
Preah Prasab,KH080306,,,,Khsach Kandal,KH0803,Kandal,KH08,Cambodia,KH,12.4549036
Preah Putth,KH080113,,,,Kandal Stueng,KH0801,Kandal,KH08,Cambodia,KH,9.888681412
Preah Rumkel,KH190508,,,,Thala Barivat,KH1905,Stung Treng,KH19,Cambodia,KH,356.5102844
Preah Sdach,KH140908,,,,Preah Sdach,KH1409,Prey Veng,KH14,Cambodia,KH,54.99811172
Preah Srae,KH050507,,,,Odongk,KH0505,Kampong Speu,KH05,Cambodia,KH,34.61103058
Preah Theat,KH250406,,,,Ou Reang Ov,KH2504,Tboung Khmum,KH25,Cambodia,KH,80.88314819
Preak Kak,KH031510,,,,Stueng Trang,KH0315,Kampong Cham,KH03,Cambodia,KH,174.9664612
Preak Netr Preah,KH010405,,,,Preah Netr Preah,KH0104,Banteay Meanchey,KH01,Cambodia,KH,117.6954727
Preal,KH140406,,,,Kanhchriech,KH1404,Prey Veng,KH14,Cambodia,KH,66.6950531
PreaΓÇïek Chrey,KH080409,PreaCiek Chrey,,,Kaoh Thum,KH0804,Kandal,KH08,Cambodia,KH,59.38952637
Prei,KH171205,,,,Srei Snam,KH1712,Siemreap,KH17,Cambodia,KH,46.12486267
Prek Ho,KH081105,,,,Ta Khmau,KH0811,Kandal,KH08,Cambodia,KH,10.36535645
Prek Preah Sdach,KH020302,,,,Battambang,KH0203,Battambang,KH02,Cambodia,KH,2.83260417
Prek Ruessey,KH081102,,,,Ta Khmau,KH0811,Kandal,KH08,Cambodia,KH,2.059070826
Prey Ampok,KH210408,,,,Kiri Vong,KH2104,Takeo,KH21,Cambodia,KH,48.03626251
Prey Angkunh,KH200805,,,,Bavet,KH2008,Svay Rieng,KH20,Cambodia,KH,20.62216377
Prey Char,KH030304,,,,Cheung Prey,KH0303,Kampong Cham,KH03,Cambodia,KH,23.5898838
Prey Chas,KH020506,,,,Aek Phnum,KH0205,Battambang,KH02,Cambodia,KH,323.894928
Prey Chhlak,KH200602,,,,Svay Rieng,KH2006,Svay Rieng,KH20,Cambodia,KH,4.516717911
Prey Chhor,KH031309,,,,Prey Chhor,KH0313,Kampong Cham,KH03,Cambodia,KH,10.26934624
Prey Chhor,KH140311,,,,Kampong Trabaek,KH1403,Prey Veng,KH14,Cambodia,KH,28.07444382
Prey Chruk,KH170711,,,,Puok,KH1707,Siemreap,KH17,Cambodia,KH,119.7808914
Prey Daeum Thnoeng,KH141208,,,,Sithor Kandal,KH1412,Prey Veng,KH14,Cambodia,KH,22.26948929
Prey Kabbas,KH210609,,,,Prey Kabbas,KH2106,Takeo,KH21,Cambodia,KH,22.04709053
Prey Kandieng,KH140708,,,,Peam Ro,KH1407,Prey Veng,KH14,Cambodia,KH,44.57855225
Prey Kanlaong,KH141104,,,,Pur Rieng,KH1411,Prey Veng,KH14,Cambodia,KH,39.1947403
Prey Khla,KH141308,,,,Svay Antor,KH1413,Prey Veng,KH14,Cambodia,KH,44.10683823
Prey Khla,KH210503,,,,Kaoh Andaet,KH2105,Takeo,KH21,Cambodia,KH,71.55982208
Prey Khmum,KH070712,,,,Tuek Chhou,KH0707,Kampot,KH07,Cambodia,KH,23.22330093
Prey Khnes,KH140504,,,,Me Sang,KH1405,Prey Veng,KH14,Cambodia,KH,55.1748085
Prey Khpos,KH020404,,,,Bavel,KH0204,Battambang,KH02,Cambodia,KH,138.7971344
Prey Kmeng,KH050609,,,,Phnum Sruoch,KH0506,Kampong Speu,KH05,Cambodia,KH,53.98173523
Prey Kokir,KH200108,,,,Chantrea,KH2001,Svay Rieng,KH20,Cambodia,KH,40.80648041
Prey Krasang,KH050508,,,,Odongk,KH0505,Kampong Speu,KH05,Cambodia,KH,32.19423294
Prey Kri,KH040205,,,,Chol Kiri,KH0402,Kampong Chhnang,KH04,Cambodia,KH,42.62342072
Prey Kuy,KH060211,,,,Kampong Svay,KH0602,Kampong Thom,KH06,Cambodia,KH,30.4909687
Prey Lvea,KH210610,,,,Prey Kabbas,KH2106,Takeo,KH21,Cambodia,KH,20.70031929
Prey Mul,KH040609,,,,Rolea B'ier,KH0406,Kampong Chhnang,KH04,Cambodia,KH,45.22230911
Prey Nheat,KH050306,,,,Kong Pisei,KH0503,Kampong Speu,KH05,Cambodia,KH,32.70965958
Prey Nhi,KH150505,,,,Pursat,KH1505,Pursat,KH15,Cambodia,KH,7.992821693
Prey Nob,KH180207,,,,Prey Nob,KH1802,Preah Sihanouk,KH18,Cambodia,KH,36.59538651
Prey Phdau,KH210611,,,,Prey Kabbas,KH2106,Takeo,KH21,Cambodia,KH,21.2037735
Prey Phkoam,KH210106,,,,Angkor Borei,KH2101,Takeo,KH21,Cambodia,KH,47.51102448
Prey Pnov,KH140807,,,,Pea Reang,KH1408,Prey Veng,KH14,Cambodia,KH,103.0494919
Prey Poun,KH140312,,,,Kampong Trabaek,KH1403,Prey Veng,KH14,Cambodia,KH,19.51116943
Prey Puoch,KH080813,,,,Angk Snuol,KH0808,Kandal,KH08,Cambodia,KH,16.22625351
Prey Rumdeng,KH140505,,,,Me Sang,KH1405,Prey Veng,KH14,Cambodia,KH,31.26618576
Prey Rumdeng,KH210409,,,,Kiri Vong,KH2104,Takeo,KH21,Cambodia,KH,84.35869598
Prey Rumduol,KH050608,,,,Phnum Sruoch,KH0506,Kampong Speu,KH05,Cambodia,KH,43.22093582
Prey Sa,KH120510,,,,Dangkao,KH1205,Phnom Penh,KH12,Cambodia,KH,13.30967045
Prey Sloek,KH211007,,,,Treang,KH2110,Takeo,KH21,Cambodia,KH,36.40256119
Prey Sniet,KH140808,,,,Pea Reang,KH1408,Prey Veng,KH14,Cambodia,KH,41.98960114
Prey Sralet,KH140809,,,,Pea Reang,KH1408,Prey Veng,KH14,Cambodia,KH,72.29897308
Prey Svay,KH020603,,,,Moung Ruessei,KH0206,Battambang,KH02,Cambodia,KH,143.7175293
Prey Ta Ei,KH200706,,,,Svay Teab,KH2007,Svay Rieng,KH20,Cambodia,KH,39.92116928
Prey Ta Hu,KH060308,,,,Stueng Saen,KH0603,Kampong Thom,KH06,Cambodia,KH,6.795803547
Prey Thnang,KH070713,,,,Tuek Chhou,KH0707,Kampot,KH07,Cambodia,KH,77.65676117
Prey Thum,KH200205,,,,Kampong Rou,KH2002,Svay Rieng,KH20,Cambodia,KH,20.19174385
Prey Thum,KH230202,,,,Kaeb,KH2302,Kep,KH23,Cambodia,KH,41.59259415
Prey Tonle,KH070203,,,,Banteay Meas,KH0702,Kampot,KH07,Cambodia,KH,37.9973793
Prey Totueng,KH140506,,,,Me Sang,KH1405,Prey Veng,KH14,Cambodia,KH,56.07839966
Prey Touch,KH020608,,,,Moung Ruessei,KH0206,Battambang,KH02,Cambodia,KH,116.1439667
Prey Tralach,KH021402,,,,Rukh Kiri,KH0214,Battambang,KH02,Cambodia,KH,72.00667572
Prey Tueng,KH141209,,,,Sithor Kandal,KH1412,Prey Veng,KH14,Cambodia,KH,33.00878525
Prey Veaeng,KH120508,,,,Dangkao,KH1205,Phnom Penh,KH12,Cambodia,KH,8.916680336
Prey Vihear,KH050307,,,,Kong Pisei,KH0503,Kampong Speu,KH05,Cambodia,KH,27.27046013
Prey Yuthka,KH210504,,,,Kaoh Andaet,KH2105,Takeo,KH21,Cambodia,KH,46.55309296
Pring Chrum,KH030305,,,,Cheung Prey,KH0303,Kampong Cham,KH03,Cambodia,KH,49.55373383
Pring Thum,KH130303,,,,Choam Ksant,KH1303,Preah Vihear,KH13,Cambodia,KH,794.2796021
Prongil,KH150404,,,,Phnum Kravanh,KH1504,Pursat,KH15,Cambodia,KH,1131.705322
Pu Chrey,KH110402,,,,Pech Chreada,KH1104,Mondul Kiri,KH11,Cambodia,KH,2252.529053
Puk Ruessei,KH080311,,,,Khsach Kandal,KH0803,Kandal,KH08,Cambodia,KH,29.72232056
Puok,KH170710,,,,Puok,KH1707,Siemreap,KH17,Cambodia,KH,59.14422989
Putrea,KH130106,,,,Chey Saen,KH1301,Preah Vihear,KH13,Cambodia,KH,171.7203369
Reab,KH140810,,,,Pea Reang,KH1408,Prey Veng,KH14,Cambodia,KH,45.89282608
Reach Montir,KH200206,,,,Kampong Rou,KH2002,Svay Rieng,KH20,Cambodia,KH,27.84489441
Reaks Chey,KH140104,,,,Ba Phnum,KH1401,Prey Veng,KH14,Cambodia,KH,42.74111557
Reaksa,KH130509,,,,Rovieng,KH1305,Preah Vihear,KH13,Cambodia,KH,166.8073578
Reaksmei,KH130502,,,,Rovieng,KH1305,Preah Vihear,KH13,Cambodia,KH,7.524755001
Reaksmei Sameakki,KH050402,,,,Aoral,KH0504,Kampong Speu,KH05,Cambodia,KH,259.8884583
Reaksmei Songha,KH020705,,,,Rotonak Mondol,KH0207,Battambang,KH02,Cambodia,KH,154.9835815
Ream,KH180208,,,,Prey Nob,KH1802,Preah Sihanouk,KH18,Cambodia,KH,211.1301117
Ream Andaeuk,KH210410,,,,Kiri Vong,KH2104,Takeo,KH21,Cambodia,KH,41.28940582
Reang Kesei,KH020807,,,,Sangkae,KH0208,Battambang,KH02,Cambodia,KH,96.02745819
Reang Til,KH150205,,,,Kandieng,KH1502,Pursat,KH15,Cambodia,KH,79.2303009
Reathor,KH140909,,,,Preah Sdach,KH1409,Prey Veng,KH14,Cambodia,KH,32.18637085
Reay Pay,KH030707,,,,Kang Meas,KH0307,Kampong Cham,KH03,Cambodia,KH,79.48971558
Reul,KH170712,,,,Puok,KH1707,Siemreap,KH17,Cambodia,KH,75.55355072
Rieb Roy,KH130508,,,,Rovieng,KH1305,Preah Vihear,KH13,Cambodia,KH,342.6660156
Rik Reay,KH130505,,,,Rovieng,KH1305,Preah Vihear,KH13,Cambodia,KH,97.62994385
Ro'ang,KH030611,Roang,,,Kampong Siem,KH0306,Kampong Cham,KH03,Cambodia,KH,32.9346199
Ro'ang,KH130602,Roang,,,Sangkum Thmei,KH1306,Preah Vihear,KH13,Cambodia,KH,114.5667419
Robas Mongkol,KH020609,,,,Moung Ruessei,KH0206,Battambang,KH02,Cambodia,KH,128.3894043
Robieb,KH130501,,,,Rovieng,KH1305,Preah Vihear,KH13,Cambodia,KH,71.36891937
Rohal,KH010406,,,,Preah Netr Preah,KH0104,Banteay Meanchey,KH01,Cambodia,KH,151.4093628
Rohas,KH130503,,,,Rovieng,KH1305,Preah Vihear,KH13,Cambodia,KH,28.94155121
Rohat Tuek,KH010208,,,,Mongkol Borei,KH0102,Banteay Meanchey,KH01,Cambodia,KH,61.96072769
Roka,KH020804,,,,Sangkae,KH0208,Battambang,KH02,Cambodia,KH,152.3046265
Roka,KH080117,,,,Kandal Stueng,KH0801,Kandal,KH08,Cambodia,KH,5.902981281
Roka,KH140811,,,,Pea Reang,KH1408,Prey Veng,KH14,Cambodia,KH,64.02664948
Roka Ar,KH030708,,,,Kang Meas,KH0307,Kampong Cham,KH03,Cambodia,KH,28.31773186
Roka Chonlueng,KH080312,,,,Khsach Kandal,KH0803,Kandal,KH08,Cambodia,KH,20.56855011
Roka Kandal,KH100211,,,,Kracheh,KH1002,Kratie,KH10,Cambodia,KH,24.09092522
Roka Kaoh,KH050308,,,,Kong Pisei,KH0503,Kampong Speu,KH05,Cambodia,KH,30.36293793
Roka Khnor,KH250209,,,,Krouch Chhmar,KH2502,Tboung Khmum,KH25,Cambodia,KH,27.2388134
Roka Khpos,KH081009,,,,S'ang,KH0810,Kandal,KH08,Cambodia,KH,34.50590134
Roka Knong,KH210802,,,,Doun Kaev,KH2108,Takeo,KH21,Cambodia,KH,18.54774284
Roka Kong Ti Muoy,KH080707,,,,Mukh Kampul,KH0807,Kandal,KH08,Cambodia,KH,9.193907738
Roka Kong Ti Pir,KH080708,,,,Mukh Kampul,KH0807,Kandal,KH08,Cambodia,KH,6.280635357
Roka Koy,KH030709,,,,Kang Meas,KH0307,Kampong Cham,KH03,Cambodia,KH,37.71272278
Roka Krau,KH210803,,,,Doun Kaev,KH2108,Takeo,KH21,Cambodia,KH,33.64445114
Roka Po Pram,KH250711,,,,Tboung Khmum,KH2507,Tboung Khmum,KH25,Cambodia,KH,201.0246887
Rokar Thum,KH050203,,,,Chbar Mon,KH0502,Kampong Speu,KH05,Cambodia,KH,15.60484028
Rokat,KH150405,,,,Phnum Kravanh,KH1504,Pursat,KH15,Cambodia,KH,853.4242554
Rolea B'ier,KH040610,Rolea Bier,,,Rolea B'ier,KH0406,Kampong Chhnang,KH04,Cambodia,KH,32.45815277
Roleab,KH150506,,,,Pursat,KH1505,Pursat,KH15,Cambodia,KH,204.5016937
Roleang Chak,KH050701,,,,Samraong Tong,KH0507,Kampong Speu,KH05,Cambodia,KH,24.38411522
Roleang Kaen,KH080118,,,,Kandal Stueng,KH0801,Kandal,KH08,Cambodia,KH,12.68656921
Roleang Kreul,KH050706,,,,Samraong Tong,KH0507,Kampong Speu,KH05,Cambodia,KH,36.39556122
Roluos,KH010808,,,,Svay Chek,KH0108,Banteay Meanchey,KH01,Cambodia,KH,28.44105911
Roluos,KH120518,,,,Dangkao,KH1205,Phnom Penh,KH12,Cambodia,KH,4.541051388
Roluos,KH170908,,,,Prasat Bakong,KH1709,Siemreap,KH17,Cambodia,KH,20.72329712
Roluos Mean Chey,KH100406,,,,Sambour,KH1004,Kratie,KH10,Cambodia,KH,826.5231323
Romeang Thkaol,KH200708,,,,Svay Teab,KH2007,Svay Rieng,KH20,Cambodia,KH,40.30580902
Romenh,KH210505,,,,Kaoh Andaet,KH2105,Takeo,KH21,Cambodia,KH,70.03292847
Romonea,KH110504,,,,Saen Monourom,KH1105,Mondul Kiri,KH11,Cambodia,KH,182.7209473
Romoneiy,KH130512,,,,Rovieng,KH1305,Preah Vihear,KH13,Cambodia,KH,592.7102051
Romtum,KH130511,,,,Rovieng,KH1305,Preah Vihear,KH13,Cambodia,KH,354.9580994
Ronak Ser,KH130605,,,,Sangkum Thmei,KH1306,Preah Vihear,KH13,Cambodia,KH,540.1856689
Roneam,KH211008,,,,Treang,KH2110,Takeo,KH21,Cambodia,KH,30.62277985
Rotanak,KH130507,,,,Rovieng,KH1305,Preah Vihear,KH13,Cambodia,KH,93.65694427
Rottanak,KH020303,,,,Battambang,KH0203,Battambang,KH02,Cambodia,KH,6.868192673
Roung Damrei,KH140105,,,,Ba Phnum,KH1401,Prey Veng,KH14,Cambodia,KH,47.29544067
Roung Kou,KH170605,,,,Kralanh,KH1706,Siemreap,KH17,Cambodia,KH,16.08111572
Rovieng,KH210707,,,,Samraong,KH2107,Takeo,KH21,Cambodia,KH,35.6579895
Roya,KH110203,,,,Kaoh Nheaek,KH1102,Mondul Kiri,KH11,Cambodia,KH,2219.089844
Ruessei Chrouy,KH080709,,,,Mukh Kampul,KH0807,Kandal,KH08,Cambodia,KH,23.89935684
Ruessei Chrum,KH090704,,,,Thma Bang,KH0907,Koh Kong,KH09,Cambodia,KH,579.6553345
Ruessei Kaev,KH120706,,,,Russey Keo,KH1207,Phnom Penh,KH12,Cambodia,KH,5.137784958
Ruessei Krang,KH020604,,,,Moung Ruessei,KH0206,Battambang,KH02,Cambodia,KH,163.6394043
Ruessei Kraok,KH010209,,,,Mongkol Borei,KH0102,Banteay Meanchey,KH01,Cambodia,KH,39.8158989
Ruessei Lok,KH170410,,,,Chi Kraeng,KH1704,Siemreap,KH17,Cambodia,KH,114.6285172
Ruessei Sanh,KH141211,,,,Sithor Kandal,KH1412,Prey Veng,KH14,Cambodia,KH,44.16081238
Ruessei Srok,KH031411,,,,Srei Santhor,KH0314,Kampong Cham,KH03,Cambodia,KH,16.18844795
Ruessei Srok,KH140609,,,,Peam Chor,KH1406,Prey Veng,KH14,Cambodia,KH,48.6865921
Ruessei Srok Khang Kaeut,KH070613,,,,Kampong Trach,KH0706,Kampot,KH07,Cambodia,KH,22.91499138
Ruessei Srok Khang Lech,KH070614,,,,Kampong Trach,KH0706,Kampot,KH07,Cambodia,KH,29.53133202
Rumchek,KH030612,,,,Kampong Siem,KH0306,Kampong Cham,KH03,Cambodia,KH,15.38019085
Rumchek,KH140910,,,,Preah Sdach,KH1409,Prey Veng,KH14,Cambodia,KH,41.99258041
Rumchek,KH170304,,,,Banteay Srei,KH1703,Siemreap,KH17,Cambodia,KH,19.35524178
Rumchek,KH250310,,,,Memot,KH2503,Tboung Khmum,KH25,Cambodia,KH,226.4873505
Rumdaoh,KH130510,,,,Rovieng,KH1305,Preah Vihear,KH13,Cambodia,KH,202.4295197
Rumdaoh Srae,KH130304,,,,Choam Ksant,KH1303,Preah Vihear,KH13,Cambodia,KH,319.1277466
Rumlech,KH141210,,,,Sithor Kandal,KH1412,Prey Veng,KH14,Cambodia,KH,31.27192497
Rumlech,KH150106,,,,Bakan,KH1501,Pursat,KH15,Cambodia,KH,52.77482605
Run Ta Aek,KH170305,,,,Banteay Srei,KH1703,Siemreap,KH17,Cambodia,KH,99.83236694
Rung,KH250311,,,,Memot,KH2503,Tboung Khmum,KH25,Cambodia,KH,33.50246811
Rung Chrey,KH020210,,,,Thma Koul,KH0202,Battambang,KH02,Cambodia,KH,81.00623322
Rung Roeang,KH050805,,,,Thpong,KH0508,Kampong Speu,KH05,Cambodia,KH,39.96046066
Rung Roeang,KH060811,,,,Stoung,KH0608,Kampong Thom,KH06,Cambodia,KH,14.47544193
Rung Roeang,KH130504,,,,Rovieng,KH1305,Preah Vihear,KH13,Cambodia,KH,190.5523834
Ruos Roan,KH130506,,,,Rovieng,KH1305,Preah Vihear,KH13,Cambodia,KH,35.65008926
Russey Keo,KH100306,,,,Prek Prasab,KH1003,Kratie,KH10,Cambodia,KH,106.3266678
S'ang,KH130101,Sang,,,Chey Saen,KH1301,Preah Vihear,KH13,Cambodia,KH,35.74830627
S'ang Phnum,KH081010,Sang Phnum,,,S'ang,KH0810,Kandal,KH08,Cambodia,KH,41.81951904
Saeb,KH040508,,,,Kampong Tralach,KH0405,Kampong Chhnang,KH04,Cambodia,KH,34.28327942
Saen Dei,KH050709,,,,Samraong Tong,KH0507,Kampong Speu,KH05,Cambodia,KH,47.92421722
Saen Monourom,KH110302,,,,Ou Reang,KH1103,Mondul Kiri,KH11,Cambodia,KH,786.8035278
Saen Sokh,KH170607,,,,Kralanh,KH1706,Siemreap,KH17,Cambodia,KH,62.86321259
Saeung,KH160305,,,,Bar Kaev,KH1603,Ratanak Kiri,KH16,Cambodia,KH,46.39794159
Sak Sampov,KH120514,,,,Dangkao,KH1205,Phnom Penh,KH12,Cambodia,KH,5.837917805
Sakream,KH060404,,,,Prasat Ballangk,KH0604,Kampong Thom,KH06,Cambodia,KH,345.3220215
Sala Kamreuk,KH171004,,,,Siem Reap,KH1710,Siemreap,KH17,Cambodia,KH,8.502313614
Sala Krau,KH240201,,,,Sala Krau,KH2402,Pailin,KH24,Cambodia,KH,59.39097595
Sala Visai,KH060405,,,,Prasat Ballangk,KH0604,Kampong Thom,KH06,Cambodia,KH,396.8778687
Sam Ang,KH190509,,,,Thala Barivat,KH1905,Stung Treng,KH19,Cambodia,KH,371.8143005
Sambatt Mean Chey,KH200414,,,,Romeas Haek,KH2004,Svay Rieng,KH20,Cambodia,KH,39.25697327
Sambok,KH100607,,,,Chetr Borei,KH1006,Kratie,KH10,Cambodia,KH,270.5837402
Sambour,KH030107,,,,Batheay,KH0301,Kampong Cham,KH03,Cambodia,KH,94.91506195
Sambour,KH050708,,,,Samraong Tong,KH0507,Kampong Speu,KH05,Cambodia,KH,30.18825722
Sambour,KH060503,,,,Prasat Sambour,KH0605,Kampong Thom,KH06,Cambodia,KH,209.0293121
Sambour,KH100407,,,,Sambour,KH1004,Kratie,KH10,Cambodia,KH,96.4124527
Sambuor,KH010210,,,,Mongkol Borei,KH0102,Banteay Meanchey,KH01,Cambodia,KH,77.04489899
Sambuor,KH080612,,,,Lvea Aem,KH0806,Kandal,KH08,Cambodia,KH,18.9812603
Sambuor,KH170606,,,,Kralanh,KH1706,Siemreap,KH17,Cambodia,KH,149.7447205
Sambuor,KH200413,,,,Romeas Haek,KH2004,Svay Rieng,KH20,Cambodia,KH,27.59334183
Sambuor,KH200709,,,,Svay Teab,KH2007,Svay Rieng,KH20,Cambodia,KH,43.94447708
Sambuor,KH211009,,,,Treang,KH2110,Takeo,KH21,Cambodia,KH,55.49055481
Sambuor Meas,KH030503,,,,Kampong Cham,KH0305,Kampong Cham,KH03,Cambodia,KH,14.2585659
Sambuor Meas,KH080710,,,,Mukh Kampul,KH0807,Kandal,KH08,Cambodia,KH,78.95614624
Sameakki,KH060406,,,,Prasat Ballangk,KH0604,Kampong Thom,KH06,Cambodia,KH,78.45780182
Sameakki,KH160606,,,,Ou Chum,KH1606,Ratanak Kiri,KH16,Cambodia,KH,70.05700684
Sameakki,KH180209,,,,Prey Nob,KH1802,Preah Sihanouk,KH18,Cambodia,KH,215.5597229
Sameakki,KH190404,,,,Stueng Traeng,KH1904,Stung Treng,KH19,Cambodia,KH,512.9556274
Samkhuoy,KH190104,,,,Sesan,KH1901,Stung Treng,KH19,Cambodia,KH,203.5505066
Samlanh,KH070110,,,,Angkor Chey,KH0701,Kampot,KH07,Cambodia,KH,24.49875832
Samlei,KH200207,,,,Kampong Rou,KH2002,Svay Rieng,KH20,Cambodia,KH,52.22171783
Samlout,KH020905,,,,Samlout,KH0209,Battambang,KH02,Cambodia,KH,197.337677
Sampeou Poun,KH080412,,,,Kaoh Thum,KH0804,Kandal,KH08,Cambodia,KH,64.25549316
Sampong Chey,KH030306,,,,Cheung Prey,KH0303,Kampong Cham,KH03,Cambodia,KH,55.82159042
Sampov Lun,KH021001,,,,Sampov Lun,KH0210,Battambang,KH02,Cambodia,KH,123.4560165
Samprouch,KH060812,,,,Stoung,KH0608,Kampong Thom,KH06,Cambodia,KH,224.4927063
Samraong,KH010505,,,,Ou Chrov,KH0105,Banteay Meanchey,KH01,Cambodia,KH,96.17170715
Samraong,KH031311,,,,Prey Chhor,KH0313,Kampong Cham,KH03,Cambodia,KH,23.16509247
Samraong,KH121103,,,,Praek Pnov,KH1211,Phnom Penh,KH12,Cambodia,KH,18.79627609
Samraong,KH141309,,,,Svay Antor,KH1413,Prey Veng,KH14,Cambodia,KH,66.21892548
Samraong,KH150407,,,,Phnum Kravanh,KH1504,Pursat,KH15,Cambodia,KH,546.5350952
Samraong,KH171109,,,,Soutr Nikom,KH1711,Siemreap,KH17,Cambodia,KH,24.15524101
Samraong,KH200109,,,,Chantrea,KH2001,Svay Rieng,KH20,Cambodia,KH,21.89260674
Samraong,KH210708,,,,Samraong,KH2107,Takeo,KH21,Cambodia,KH,15.81000137
Samraong,KH210910,,,,Tram Kak,KH2109,Takeo,KH21,Cambodia,KH,25.67937279
Samraong,KH220404,,,,Samraong,KH2204,Oddar Meanchey,KH22,Cambodia,KH,95.28801727
Samraong Knong,KH020502,,,,Aek Phnum,KH0205,Battambang,KH02,Cambodia,KH,20.87897873
Samraong Kraom,KH070204,,,,Banteay Meas,KH0702,Kampot,KH07,Cambodia,KH,22.86235428
Samraong Kraom,KH120906,,,,Pur SenChey,KH1209,Phnom Penh,KH12,Cambodia,KH,12.28779125
Samraong Leu,KH070205,,,,Banteay Meas,KH0702,Kampot,KH07,Cambodia,KH,16.64051628
Samraong Leu,KH080814,,,,Angk Snuol,KH0808,Kandal,KH08,Cambodia,KH,31.08408737
Samraong Saen,KH040407,,,,Kampong Leaeng,KH0404,Kampong Chhnang,KH04,Cambodia,KH,46.39212036
Samraong Thum,KH080211,,,,Kien Svay,KH0802,Kandal,KH08,Cambodia,KH,95.48088074
Samraong Yea,KH170713,,,,Puok,KH1707,Siemreap,KH17,Cambodia,KH,46.499897
Samrong,KH180210,,,,Prey Nob,KH1802,Preah Sihanouk,KH18,Cambodia,KH,72.94620514
Samrong Tong,KH050707,,,,Samraong Tong,KH0507,Kampong Speu,KH05,Cambodia,KH,29.83586311
Samyaong,KH200208,,,,Kampong Rou,KH2002,Svay Rieng,KH20,Cambodia,KH,23.82817268
San Kor,KH060207,,,,Kampong Svay,KH0602,Kampong Thom,KH06,Cambodia,KH,222.7908173
Sandaek,KH030108,,,,Batheay,KH0301,Kampong Cham,KH03,Cambodia,KH,59.2033577
Sandan,KH060607,,,,Sandan,KH0606,Kampong Thom,KH06,Cambodia,KH,256.6445618
Sandan,KH100408,,,,Sambour,KH1004,Kratie,KH10,Cambodia,KH,97.3242569
Sandar,KH080507,,,,Leuk Daek,KH0805,Kandal,KH08,Cambodia,KH,36.23934174
Sangkae,KH200308,,,,Rumduol,KH2003,Svay Rieng,KH20,Cambodia,KH,26.00338364
Sangkae Muoy,KH130203,,,,Chhaeb,KH1302,Preah Vihear,KH13,Cambodia,KH,328.7209473
Sangkae Pir,KH130204,,,,Chhaeb,KH1302,Preah Vihear,KH13,Cambodia,KH,61.96984863
